"Abundance: F1: Sample, NCL_VEH","Abundance: F2: Sample, NCL_LNA","Abundance: F3: Sample, NCL_ION","Abundance: F4: Sample, CL_VEH","Abundance: F5: Sample, CL_LNA","Abundance: F6: Sample, CL_ION","Abundance: F7: Sample, NCL_VEH","Abundance: F8: Sample, NCL_LNA","Abundance: F9: Sample, NCL_ION","Abundance: F10: Sample, CL_VEH","Abundance: F11: Sample, CL_LNA","Abundance: F12: Sample, CL_ION","Abundance: F13: Sample, NCL_VEH","Abundance: F14: Sample, NCL_LNA","Abundance: F15: Sample, NCL_ION","Abundance: F16: Sample, CL_VEH","Abundance: F17: Sample, CL_LNA","Abundance: F18: Sample, CL_ION"
,,,191744.25,,23949.58008,,,,,,,,,,,73374.71094,299214.6875
1134259.875,781378.875,938943.875,1925501.625,318079.6719,,985439.875,981912.125,320813.2188,745960.3438,822389.6113,728016.3125,553306.5625,240108.875,126272.8594,173008.2188,,139514.5469
1380019.75,6160498.5,,14966674.5,3935697.5,1455125.688,13434748.75,7234120.75,,8002949.25,23295512,15162932.5,2784857.75,15597420.5,,19806035,3025739.125,6807440.25
,,,,96713.63086,9556.912109,367726.0938,247282.2031,,333156.5,630022.3125,351412.875,,199956.1289,,438506.4688,13482.74414,163776.9844
1025807.356,366050.3374,780395.5376,,139126.6406,21077.19336,1999010.75,1200228,133736.4102,29294.32617,1119672.359,575609.9375,1676694.795,1467060.625,102087.8047,,,249806.3438
,,,78885.60156,,187537.2813,172645.3281,,,,,1051766.875,,,,,,227272.9688
,,,423597.9375,,,,76317.5625,,140550.25,1013304.063,,,419726.4375,,1684241.375,204634.7656,224106.3594
,,,,,,,,,,,,,,,,,
,,,,,,,,,103875.2578,919552.5938,1102923.125,,849085.9063,,617073.6875,,73290.71875
,,,112569.4297,,,244390.2344,126388.8672,,172977.4531,,2809327.25,,,,,,
,,,216770.4531,,83069.01563,522672.1875,146470.1719,,261509.1094,281535.4375,,,,,246295.6406,,142688.6719
5973922.46,6420902.859,3828112.15,21417193.56,3142427.184,354090.9023,16495907.09,11012950.21,1276384.063,10167459.08,16291693.83,6922373.895,6087017.5,8774673.766,2105477.188,17062391.41,648855.1406,4023917.719
,,,,,,,,,,,,,,,,,
,,,38385.17188,,,221725.3438,97230.33594,,29475.87695,43813.42188,333897.0625,,128714.2813,,,,
4289217,,,,236920.0156,,,864241,,88730.85156,1251618.125,,,2662805,,229239.5156,2177832.75,302515.875
,,,,,,109183.0156,37636.15625,,106968.3438,188509.0938,147725.5,,,,286695.1875,,105054.7813
,,,,,18728.22266,,,,34715.19141,,,,,508277.4063,,,
1873815.125,,,,1378409.469,,,4561069,,,12356176,,,23720594,,,4743183.75,104418.2344
7736699.5,,,,3104794.531,,,11054363,,,17980399.52,68589.30664,,31336353.77,,,4494880.131,
2175465.125,1790301.375,1270167.25,3077712.25,181556.6992,35138.90381,2848862.305,683025.5645,580378.9375,1045934.59,1741045.625,644046.4316,2438262.156,955772.1113,2611785.188,4043136.861,189520.9766,2253640.969
,,,,129369.4922,,,153135.5,,,,,,,,,94702.5625,
,,,,,,,29385.74609,,,,,,1558535.375,,,123739.5156,
523078.9688,86015.85156,,23568.97461,215879.9492,8664.355469,,968896.9219,,36498.02344,977561.7188,29159.6582,,2207181.5,,31356.89258,133856.1563,43216.88281
,,,,,,,246217.5938,,,,,,312732.375,,,,
,,,243463.5,194260.5938,,372458.4375,172545.3906,,184734.1563,589454.75,162455.1875,,265945.9063,,173252.2031,,91655.92188
,,,,124310.5625,101400.3359,,,,144348.8594,375438.5,,,,,346307.0313,121619.3438,205611.8125
,,,366497.6875,,,660650.875,311920.7188,,399728.1563,366787.8125,6584357,,286013.9375,,232314.875,,46990.60938
113314.7656,,47108.87891,46883.11719,43499.20703,44064.79297,39259.88281,,,,,214291.4844,,28081.76367,,,,
52633.23047,,365145.25,,,78880.375,,164805.6875,,,219032.7031,844805.3125,,314357.9063,,,,990899.6563
